,日付,人数
0,2022-01-01,78
1,2022-01-02,82
2,2022-01-03,103
3,2022-01-04,151
4,2022-01-05,388
5,2022-01-06,640
6,2022-01-07,920
7,2022-01-08,1223
8,2022-01-09,1223
9,2022-01-10,871
10,2022-01-11,959
11,2022-01-12,2196
12,2022-01-13,3121
13,2022-01-14,4055
14,2022-01-15,4559
15,2022-01-16,4166
16,2022-01-17,3713
17,2022-01-18,5181
18,2022-01-19,7366
19,2022-01-20,8634
20,2022-01-21,9695
21,2022-01-22,11217
22,2022-01-23,9460
23,2022-01-24,8493
24,2022-01-25,12797
25,2022-01-26,14077
26,2022-01-27,16525
27,2022-01-28,17610
28,2022-01-29,17424
29,2022-01-30,15893
30,2022-01-31,11743
31,2022-02-01,14432
32,2022-02-02,21562
33,2022-02-03,20663
34,2022-02-04,19788
35,2022-02-05,21110
36,2022-02-06,17519
37,2022-02-07,12194
38,2022-02-08,17100
39,2022-02-09,18275
40,2022-02-10,18888
41,2022-02-11,18648
42,2022-02-12,11755
43,2022-02-13,13061
44,2022-02-14,10330
45,2022-02-15,15515
46,2022-02-16,17325
47,2022-02-17,17856
48,2022-02-18,16122
49,2022-02-19,13509
50,2022-02-20,12933
51,2022-02-21,8801
52,2022-02-22,11439
53,2022-02-23,14559
54,2022-02-24,10163
55,2022-02-25,11123
56,2022-02-26,11558
57,2022-02-27,10314
58,2022-02-28,9629
59,2022-03-01,11802
60,2022-03-02,12690
61,2022-03-03,12246
62,2022-03-04,10515
63,2022-03-05,10804
64,2022-03-06,9282
65,2022-03-07,5370
66,2022-03-08,8919
67,2022-03-09,10812
68,2022-03-10,10077
69,2022-03-11,8456
70,2022-03-12,9164
71,2022-03-13,8127
72,2022-03-14,4831
73,2022-03-15,7831
74,2022-03-16,10220
75,2022-03-17,8456
76,2022-03-18,7825
77,2022-03-19,7441
78,2022-03-20,6497
79,2022-03-21,3853
80,2022-03-22,3532
81,2022-03-23,6426
82,2022-03-24,8869
83,2022-03-25,7284
84,2022-03-26,7440
85,2022-03-27,7843
86,2022-03-28,4542
87,2022-03-29,7846
88,2022-03-30,9518
89,2022-03-31,8220
90,2022-04-01,7978
91,2022-04-02,7390
92,2022-04-03,7896
93,2022-04-04,4382
94,2022-04-05,6967
95,2022-04-06,8650
96,2022-04-07,8750
97,2022-04-08,8110
98,2022-04-09,8098
99,2022-04-10,8024
100,2022-04-11,4557
101,2022-04-12,6920
102,2022-04-13,8248
103,2022-04-14,8535
104,2022-04-15,6761
105,2022-04-16,6794
106,2022-04-17,5219
107,2022-04-18,3477
108,2022-04-19,5581
109,2022-04-20,6771
110,2022-04-21,6710
111,2022-04-22,5393
112,2022-04-23,5386
113,2022-04-24,4935
114,2022-04-25,3136
115,2022-04-26,5042
116,2022-04-27,6049
117,2022-04-28,5392
118,2022-04-29,3892
119,2022-04-30,2978
120,2022-05-01,3157
121,2022-05-02,2397
122,2022-05-03,3349
123,2022-05-04,2997
124,2022-05-05,2317
125,2022-05-06,2678
126,2022-05-07,3802
127,2022-05-08,4709
128,2022-05-09,3011
129,2022-05-10,4447
130,2022-05-11,4761
131,2022-05-12,4214
132,2022-05-13,4103
133,2022-05-14,3798
134,2022-05-15,3348
135,2022-05-16,2374
136,2022-05-17,3662
137,2022-05-18,4353
138,2022-05-19,4170
139,2022-05-20,3571
140,2022-05-21,3462
141,2022-05-22,3313
142,2022-05-23,2023
143,2022-05-24,3268
144,2022-05-25,3924
145,2022-05-26,3388
146,2022-05-27,2629
147,2022-05-28,2549
148,2022-05-29,2192
149,2022-05-30,1342
150,2022-05-31,2356
151,2022-06-01,2412
152,2022-06-02,2333
153,2022-06-03,2109
154,2022-06-04,2071
155,2022-06-05,1583
156,2022-06-06,1012
157,2022-06-07,1797
158,2022-06-08,1934
159,2022-06-09,1874
160,2022-06-10,1597
161,2022-06-11,1524
162,2022-06-12,1544
163,2022-06-13,958
164,2022-06-14,1527
165,2022-06-15,2014
166,2022-06-16,1815
167,2022-06-17,1591
168,2022-06-18,1681
169,2022-06-19,1621
170,2022-06-20,1076
171,2022-06-21,1959
172,2022-06-22,2325
173,2022-06-23,2409
174,2022-06-24,2181
175,2022-06-25,2159
176,2022-06-26,2004
177,2022-06-27,1514
178,2022-06-28,2509
179,2022-06-29,3802
180,2022-06-30,3621
181,2022-07-01,3545
182,2022-07-02,3615
183,2022-07-03,3788
184,2022-07-04,2772
185,2022-07-05,5301
186,2022-07-06,8338
187,2022-07-07,8523
188,2022-07-08,8775
189,2022-07-09,9714
190,2022-07-10,9481
191,2022-07-11,6228
192,2022-07-12,11508
193,2022-07-13,16875
194,2022-07-14,16657
195,2022-07-15,19055
196,2022-07-16,18912
197,2022-07-17,17786
198,2022-07-18,12691
199,2022-07-19,11009
200,2022-07-20,20385
201,2022-07-21,31855
202,2022-07-22,34968
203,2022-07-23,32683
204,2022-07-24,28096
205,2022-07-25,22377
206,2022-07-26,31580
207,2022-07-27,29030
208,2022-07-28,40395
209,2022-07-29,36804
210,2022-07-30,33450
211,2022-07-31,31532
212,2022-08-01,21958
213,2022-08-02,30842
214,2022-08-03,38940
215,2022-08-04,35339
216,2022-08-05,37767
217,2022-08-06,30970
218,2022-08-07,26313
219,2022-08-08,17884
220,2022-08-09,29115
221,2022-08-10,34243
222,2022-08-11,31247
223,2022-08-12,20401
224,2022-08-13,23773
225,2022-08-14,22740
226,2022-08-15,23135
227,2022-08-16,23511
228,2022-08-17,29416
229,2022-08-18,27453
230,2022-08-19,27676
231,2022-08-20,25277
232,2022-08-21,24780
233,2022-08-22,15085
234,2022-08-23,21770
235,2022-08-24,25444
236,2022-08-25,23129
237,2022-08-26,18423
238,2022-08-27,17126
239,2022-08-28,15834
240,2022-08-29,9880
241,2022-08-30,14219
242,2022-08-31,15428
243,2022-09-01,14451
244,2022-09-02,12413
245,2022-09-03,12561
246,2022-09-04,9635
247,2022-09-05,7296
248,2022-09-06,9486
249,2022-09-07,13568
250,2022-09-08,10640
251,2022-09-09,9240
252,2022-09-10,9988
253,2022-09-11,7750
254,2022-09-12,5654
255,2022-09-13,8855
256,2022-09-14,10593
257,2022-09-15,8825
258,2022-09-16,8636
259,2022-09-17,8018
260,2022-09-18,8077
261,2022-09-19,4069
262,2022-09-20,3794
263,2022-09-21,7059
264,2022-09-23,7559
265,2022-09-24,4855
